fecha hora var lev value
2023-03-23 18:00:00 temp 800 288.5333
2023-03-23 18:00:00 temp 750 285.8105
2023-03-23 18:00:00 temp 700 283.0226
2023-03-23 18:00:00 temp 650 280.2851
2023-03-23 18:00:00 temp 600 277.1332
2023-03-23 18:00:00 temp 550 273.3353
2023-03-23 18:00:00 temp 500 268.9566
2023-03-23 18:00:00 temp 450 264.0568
2023-03-23 18:00:00 temp 400 258.3977
2023-03-23 18:00:00 temp 350 251.627
2023-03-23 18:00:00 temp 300 243.381
2023-03-23 18:00:00 temp 250 232.925
2023-03-23 18:00:00 temp 200 219.591
2023-03-23 18:00:00 temp 150 203.6459
2023-03-23 18:00:00 temp 100 191.4486
2023-03-23 18:00:00 temp 50 205.2143
2023-03-23 19:00:00 temp 1020 290.2759
2023-03-23 19:00:00 temp 1000 289.3323
2023-03-23 19:00:00 temp 950 300.549
2023-03-23 19:00:00 temp 925 298.2214
2023-03-23 19:00:00 temp 900 295.8731
2023-03-23 19:00:00 temp 850 291.3482
2023-03-23 19:00:00 temp 800 288.6625
2023-03-23 19:00:00 temp 750 285.9935
2023-03-23 19:00:00 temp 700 283.2032
2023-03-23 19:00:00 temp 650 280.4972
2023-03-23 19:00:00 temp 600 277.3684
2023-03-23 19:00:00 temp 550 273.5601
2023-03-23 19:00:00 temp 500 269.1164
2023-03-23 19:00:00 temp 450 264.1461
2023-03-23 19:00:00 temp 400 258.3407
2023-03-23 19:00:00 temp 350 251.4374
2023-03-23 19:00:00 temp 300 243.2837
2023-03-23 19:00:00 temp 250 232.9338
2023-03-23 19:00:00 temp 200 219.7001
2023-03-23 19:00:00 temp 150 203.7913
2023-03-23 19:00:00 temp 100 191.5386
2023-03-23 19:00:00 temp 50 205.1864
2023-03-23 20:00:00 temp 1020 290.1886
2023-03-23 20:00:00 temp 1000 289.2344
2023-03-23 20:00:00 temp 950 300.7869
2023-03-23 20:00:00 temp 925 298.4659
2023-03-23 20:00:00 temp 900 296.1174
2023-03-23 20:00:00 temp 850 291.5319
2023-03-23 20:00:00 temp 800 288.6748
2023-03-23 20:00:00 temp 750 286.0464
2023-03-23 20:00:00 temp 700 283.3421
2023-03-23 20:00:00 temp 650 280.614
2023-03-23 20:00:00 temp 600 277.4918
2023-03-23 20:00:00 temp 550 273.7767
2023-03-23 20:00:00 temp 500 269.3056
2023-03-23 20:00:00 temp 450 264.248
2023-03-23 20:00:00 temp 400 258.1786
2023-03-23 20:00:00 temp 350 251.4072
2023-03-23 20:00:00 temp 300 243.2676
2023-03-23 20:00:00 temp 250 232.8221
2023-03-23 20:00:00 temp 200 219.7015
2023-03-23 20:00:00 temp 150 203.8757
2023-03-23 20:00:00 temp 100 191.9939
2023-03-23 20:00:00 temp 50 204.7474
2023-03-23 21:00:00 temp 1020 290.0835
2023-03-23 21:00:00 temp 1000 289.1259
2023-03-23 21:00:00 temp 950 300.9096
